Game,LastHitter,BallX,BallY,BallZ,BallSpeed,AIPaddleZ,PlayerPaddleZ,Result
0,Player,-2.05,1.97,0.73,26.00,-3.20,33.53,PlayerScored
0,AI,-2.02,1.96,0.66,26.00,23.20,11.96,AIScored
0,AI,0.48,2.31,0.29,22.86,2.20,13.85,AIScored
0,AI,0.50,2.28,-0.64,23.28,2.20,-12.01,AIScored
0,AI,-1.49,1.80,-0.47,26.00,3.10,6.60,AIScored
0,AI,-2.05,1.96,0.66,26.00,-0.60,0.84,AIScored
0,AI,-2.26,1.97,0.37,26.00,11.00,6.28,AIScored
0,AI,0.47,3.10,-0.80,18.84,10.90,21.27,AIScored
0,None,-2.48,1.98,0.18,26.00,-0.60,3.05,AIScored
0,None,-2.65,2.78,7.70,26.02,14.80,7.54,AIScored
0,AI,2.30,1.98,0.46,26.00,13.20,8.26,AIScored
0,None,-1.63,1.85,-0.56,26.00,9.20,-12.23,AIScored
0,AI,2.43,1.98,-0.01,26.00,7.00,10.03,AIScored
0,AI,-1.98,1.93,0.01,26.00,-13.70,-46.00,AIScored
0,None,-1.12,1.69,-0.36,24.00,-0.60,47.44,AIScored
0,AI,-1.45,1.82,-0.34,24.00,-0.60,-11.05,AIScored
0,AI,-2.11,1.97,-0.34,24.00,-0.60,6.68,AIScored
0,AI,1.79,1.93,0.34,24.00,-0.60,-12.07,AIScored
0,AI,-2.11,1.97,-0.11,24.00,-0.60,7.00,AIScored
0,AI,1.59,2.42,-0.23,22.67,8.80,4.54,AIScored
0,None,2.40,2.64,9.72,20.02,-0.60,9.80,AIScored
0,None,-63.63,13.25,-28.04,20.02,-12.50,-27.91,AIScored
0,AI,-1.07,2.04,0.95,19.20,20.50,26.57,AIScored
0,AI,1.60,1.98,-0.92,20.00,21.30,41.32,AIScored
0,AI,0.23,2.50,0.42,17.16,15.40,20.78,AIScored
0,AI,2.12,1.98,0.53,24.00,16.70,8.92,AIScored
0,AI,0.27,2.85,-0.22,18.85,10.90,37.95,AIScored
0,AI,-1.27,2.12,0.85,21.07,11.20,19.96,AIScored
0,AI,0.30,1.34,0.11,22.00,28.80,26.71,AIScored
0,AI,2.29,2.00,-1.31,22.00,21.20,33.96,AIScored
0,AI,0.35,2.28,-0.60,19.47,18.10,44.44,AIScored
0,AI,-1.74,1.98,-1.00,22.00,-1.40,-3.95,AIScored
0,None,-63.36,5.98,36.85,22.01,1.40,36.16,AIScored
0,None,-63.60,13.20,-29.20,22.01,-14.10,-29.24,AIScored
0,AI,-42.95,12.54,-49.67,22.01,-21.60,-49.41,AIScored
0,AI,1.68,1.96,0.57,22.00,-15.00,0.92,AIScored
0,AI,-1.91,1.97,-0.15,22.00,0.20,-0.35,AIScored
0,AI,-1.95,1.97,0.00,22.00,-3.10,-10.41,AIScored
0,AI,-1.79,1.97,0.43,22.00,8.40,4.85,AIScored
0,AI,1.76,1.97,0.52,22.00,18.00,0.59,AIScored
0,AI,1.71,1.97,0.79,22.00,17.40,14.44,AIScored
0,AI,-0.38,2.34,1.18,20.04,-4.50,-13.81,AIScored
0,AI,0.25,2.66,-0.26,17.96,30.00,37.67,AIScored
0,AI,1.76,1.97,0.38,21.00,0.70,-2.88,AIScored
0,AI,-1.72,1.97,-0.49,21.00,0.70,-25.55,AIScored
0,None,-1.68,1.96,-0.46,21.00,27.40,36.34,AIScored
0,AI,-0.81,1.63,-0.40,21.00,4.00,3.26,AIScored
0,AI,-2.03,1.99,0.10,21.00,2.40,7.75,AIScored
0,AI,0.26,2.56,0.10,17.91,2.40,2.35,AIScored
0,AI,-0.62,1.50,-0.07,21.00,29.10,20.55,AIScored
0,AI,0.31,2.36,-0.78,18.55,12.30,11.17,AIScored
0,AI,-1.31,2.36,0.73,19.79,-3.70,-3.39,AIScored
0,AI,-2.00,1.98,-0.17,21.00,-1.70,-0.23,AIScored
0,None,-1.32,2.37,0.75,19.79,8.30,-43.73,AIScored
0,AI,0.24,2.71,0.23,17.94,5.60,8.35,AIScored
0,AI,-2.03,1.99,0.00,21.00,-18.40,-25.59,AIScored
0,AI,-0.32,2.18,0.72,18.80,26.60,45.72,AIScored
0,AI,-2.02,1.99,0.14,21.00,2.40,-10.90,AIScored
0,Player,-0.23,1.31,-0.05,21.00,10.50,17.75,PlayerScored
0,AI,-1.07,1.71,0.04,21.00,6.10,6.29,AIScored
0,AI,0.25,2.66,-0.38,18.02,23.90,18.04,AIScored
0,Player,0.40,1.55,-0.08,18.55,23.70,23.16,PlayerScored
0,Player,0.26,1.32,0.05,21.00,39.00,34.24,PlayerScored
0,Player,-1.16,1.82,-0.62,21.00,39.00,0.20,PlayerScored
0,Player,-0.32,2.29,0.89,18.91,0.00,-30.13,PlayerScored
0,AI,-19.46,-1.54,-49.84,21.02,-6.50,-49.99,AIScored
0,AI,-0.32,2.31,0.91,18.77,-18.30,-33.63,AIScored
0,None,-1.74,1.96,-0.05,21.00,-12.70,-46.24,AIScored
0,Player,1.18,1.81,-0.50,20.96,25.90,18.95,PlayerScored
0,AI,0.24,2.70,0.09,17.91,25.90,10.47,AIScored
0,None,-0.65,1.51,0.13,21.00,11.90,19.42,AIScored
0,Player,-1.37,2.53,0.45,19.56,13.40,-10.18,PlayerScored
0,Player,0.29,2.48,-0.84,18.52,21.40,-11.45,PlayerScored
0,Player,-32.43,2.83,2.80,16.03,7.60,3.06,PlayerScored
0,None,-1.69,1.96,-0.21,21.00,-2.10,-31.92,AIScored
0,AI,0.25,2.66,-0.39,18.02,-7.30,-15.77,AIScored
0,AI,0.25,2.61,0.20,17.93,26.60,16.87,AIScored
0,AI,-1.36,2.47,0.63,19.67,10.70,8.87,AIScored
0,None,-63.44,-0.95,-24.45,21.02,40.10,-24.36,AIScored
0,AI,-0.38,1.45,0.20,19.13,6.70,-1.38,AIScored
0,AI,-1.74,1.96,-0.18,21.00,13.20,16.43,AIScored
0,AI,-1.67,1.98,-0.96,21.00,-32.30,-39.38,AIScored
0,Player,-17.36,3.16,10.09,21.80,25.60,10.27,PlayerScored
0,Player,-1.20,1.80,-0.38,21.00,-31.20,0.23,PlayerScored
0,AI,-1.28,2.37,0.45,19.59,-4.50,-41.82,AIScored
0,Player,1.52,1.97,0.86,21.00,23.90,15.50,PlayerScored
0,Player,-1.75,1.97,-0.18,21.00,7.90,-0.07,PlayerScored
0,AI,1.78,1.98,0.74,21.00,-4.70,-1.25,AIScored
0,Player,-1.32,2.46,0.35,19.53,10.30,0.25,PlayerScored
0,Player,-66.99,11.95,34.17,21.36,30.90,34.55,PlayerScored
0,Player,15.06,3.46,-6.70,24.91,20.00,-6.90,PlayerScored
0,Player,22.44,3.57,-1.89,25.02,2.10,-2.34,PlayerScored
0,Player,18.31,3.64,-3.25,24.37,11.20,-3.21,PlayerScored
0,None,-66.81,0.63,-33.28,24.00,40.10,-33.55,AIScored
0,None,-67.13,13.33,30.30,21.02,21.00,30.05,AIScored
0,Player,19.86,3.69,-1.66,24.28,3.30,-1.57,PlayerScored
0,Player,15.75,3.61,-6.06,24.68,2.50,-5.95,PlayerScored
0,Player,10.91,3.44,-5.78,25.48,27.10,-5.97,PlayerScored
0,Player,11.66,3.48,-6.17,24.33,27.10,-6.12,PlayerScored
0,None,-66.92,1.86,-27.40,23.54,40.10,-27.29,AIScored
0,AI,17.98,3.53,-4.46,24.38,13.30,-4.57,AIScored
0,AI,-66.94,13.38,-29.41,21.01,-13.80,-29.35,AIScored
0,AI,14.44,3.53,-6.93,25.46,25.40,-6.86,AIScored
0,AI,14.45,3.46,-5.39,24.60,23.90,-5.66,AIScored
0,Player,-33.21,3.62,6.58,26.00,15.50,6.74,PlayerScored
