Game,LastHitter,BallX,BallY,BallZ,BallSpeed,AIPaddleZ,PlayerPaddleZ,Result
0,None,-66.18,1.15,7.07,18.84,29.30,6.99,AIScored
0,AI,-34.36,2.82,-10.68,15.52,-5.00,-12.84,AIScored
0,Player,-42.21,3.17,13.40,15.40,20.70,14.91,PlayerScored
0,Player,-59.39,-0.67,13.43,15.14,17.10,14.04,PlayerScored
0,Player,-58.29,-0.70,8.35,15.09,11.50,10.21,PlayerScored
0,Player,6.31,3.37,2.24,16.77,11.50,3.44,PlayerScored
0,Player,-42.75,3.09,6.33,14.94,11.50,8.21,PlayerScored
0,None,-65.01,-0.90,8.37,16.48,0.00,9.62,AIScored
0,Player,-42.76,2.99,-2.68,14.79,-1.70,-3.76,PlayerScored
0,AI,-54.08,-1.29,29.81,9.79,31.90,31.01,AIScored
0,Player,-48.22,3.25,23.43,16.96,25.80,26.24,PlayerScored
